"abbr","title"
"ACS Nano","ACS Nano"
"ACS Omega","ACS Omega"
"ACS Pharmacol Transl Sci","ACS Pharmacology and Translational Science"
"ACS Photonics","ACS Photonics"
"ACS Sens","ACS Sensors"
"ACS Sustainable Chem Eng","ACS Sustainable Chemistry and Engineering"
"ACS Symp Ser","ACS Symposium Series"
"ACS Synth Biol","ACS Synthetic Biology"
"Act Passive Electron Compon","Active and Passive Electronic Components"
"Acta Acad Agric Tech Olst Protect Aquar Piscat","Acta Academiae Agriculturae ac Technicae Olstenensis Protectio Aquarum et Piscatoria"
"Acta Acad Agric Tech Olst Geod Ruris Regul","Acta Academiae Agriculturae ac Technicae Olstenensis Geodaesia et Ruris Regulatio"
"Acta Acad Agric Tech Olst Technol Aliment","Acta Academiae Agriculturae ac Technicae Olstenensis Technologia alimentarum"
"Acta Acad Agric Tech Olst Vet","Acta Academiae Agriculturae ac Technicae Olstenensis Veterinaria"
"Acta Acust","Acta Acustica"
"Acta Acust united Acust","Acta Acustica united with Acustica"
"Acta Adriat","Acta Adriatica"
"Acta Agric Scand Sect A","Acta Agriculturae Scandinavica Section A Animal Science"
"Acta Agric Scand Sect B","Acta Agriculturae Scandinavica Section B Soil and Plant Science"
"Acta Amazon","Acta Amazonica"
"Acta Anat","Acta Anatomica"
"Acta Arct","Acta Arctica"
"Acta Astronaut","Acta Astronautica"
"Acta Autom Sin","Acta Automatica Sinica"
"Acta Biochim Biophys Sin","Acta Biochimica et Biophysica Sinica"
"Acta Biochim Pol","Acta Biochimica Polonica"
"Acta Biol Cracov Bot","Acta Biologica Cracoviensia Serie Botanique"
"Acta Biol Cracov Zool","Acta Biologica Cracoviensia Serie Zoologique"
"Acta Biol Hung","Acta Biologica Hungarica"
"Acta Biol Jugosl B","Acta Biologica Jugoslavica Serija B Mikrobiologija"
"Acta Biol Jugosl E","Acta Biologica Jugoslavica Serija E Ichthyologia"
"Acta Biol Med Ger","Acta Biologica et Medica Germanica"
"Acta Biol Med Soc Sci Gedanensis","Acta Biologica et Medica Societas Scientiarum Gedanensis"
"Acta Biol Paran","Acta Biologica Paranaense"
"Acta Biol Venez","Acta Biologica Venezuelica"
"Acta Biomater","Acta Biomaterialia"
"Acta Bioquim Clin Latinoam","Acta Bioquimica Clinica Latinoamericana"
"Acta Biotechnol","Acta Biotechnologica"
"Acta Biotheor","Acta Biotheoretica"
"Acta Boreal A","Acta Borealia A Scientia"
"Acta Bot Fenn","Acta Botanica Fennica"
"Acta Bot Hung","Acta Botanica Hungarica"
"Acta Bot Neerl","Acta Botanica Neerlandica"
"Acta Chem Scand","Acta Chemica Scandinavica"
"Acta Chem Scand Ser A","Acta Chemica Scandinavica Series A Physical and Inorganic Chemistry"
"Acta Chem Scand Ser B","Acta Chemica Scandinavica Series B Organic Chemistry and Biochemistry"
"Acta Chim Hung","Acta Chimica Hungarica"
"Acta Chim Sinica","Acta Chimica Sinica"
"Acta Chromatogr","Acta Chromatographica"
"Acta Cienc Indica Chem","Acta Ciencia Indica Chemistry"
"Acta Cienc Indica Phys","Acta Ciencia Indica Phyics"
"Acta Cient Venez","Acta Scientifica Venezolana"
"Acta Crystallogr Sect A Found Crystallogr","Acta Crystallographica Section A Foundations"
"Acta Crystallogr Sect B Struct Sci","Acta Crystallographica Section B Structural Science"
"Acta Crystallogr Sect C Cryst Struct Commun","Acta Crystallographica Section C Crystal Structure Communications"
"Acta Crystallogr Sect D Biol Crystallogr","Acta Crystallographica Section D Biological Crystallography"
"Acta Crystallogr Sect E Struct Rep Online","Acta Crystallographica Section E Structure Reports Online"
"Acta Crystallogr Sect F Struct Biol Cryst Commun","Acta Crystallographica Section F Structural Biology and Crystallization Communications"
"Acta Ecol Sin","Acta Ecologica Sinica"
"Acta Entomol","Acta Entomologica"
"Acta Entomol Fenn","Acta Entomologica Fennica"
"Acta Farm Bonaerense","Acta Farmaceutica Bonaerense"
"Acta Faun Entomol","Acta Faunistica Entomologica"
"Acta Genet Sin","Acta Genetica Sinica"
"Acta Geod Geophys","Acta Geodaetica et Geophysica"
"Acta Geodyn Geomater","Acta Geodynamics et Geomaterialia"
"Acta Geol Leopold","Acta Geologica Leopoldensia"
"Acta Geol Lillo","Acta Geologica Lilloana"
"Acta Geol Pol","Acta Geologica Polonica"
"Acta Geol Sin","Acta Geologica Sinica"
"Acta Geophys","Acta Geophysica"
"Acta Geophys Sin","Acta Geophysica Sinica"
"Acta Geotech","Acta Geotechnica"
"Acta Histochem","Acta Histochemica"
"Acta Hortic","Acta Horticulturae"
"Acta Hydrobiol","Acta Hydrobiologica"
"Acta Hydrobiol Litu","Acta Hydrobiologica Lituanica"
"Acta Hydrobiol Sin","Acta Hydrobiologica Sinica"
"Acta Hydroch Hydrob","Acta Hydrochimica et Hydrobiologica"
"Acta Hydrochim Hydrobiol","Acta Hydrochimica et Hydrobiologica"
"Acta Ichthyol Piscat","Acta Ichthyologica et Piscatoria"
"Acta Mater","Acta Materialia"
"Acta Mech","Acta Mechanica"
"Acta Mech Sin","Acta Mechanica Sinica"
"Acta Mech Solida Sin","Acta Mechanica Solida Sinica"
"Acta Metall","Acta Metallurgica"
"Acta Metall Mater","Acta Metallurgica et Materialia"
"Acta Metall Sinica","Acta Metallurgica Sinica"
"Acta Meteorol Sin","Acta Meteorologica Sinica"
"Acta Microbiol Hung","Acta Microbiologica Hungarica"
"Acta Microbiol Pol","Acta Microbiologica Polonica"
"Acta Micropalaeontol Sin","Acta Micropalaeontologica Sinica"
"Acta Morphol Hung","Acta Morphologica Hungarica"
"Acta Morphol NeerlScand","Acta Morphologica NeerlandoScandinavica"
"Acta Mus Maced Sci Nat","Acta Musei Macedonici Scientiarum Naturalium"
"Acta Mus Morav","Acta Musei Moraviae"
"Acta Neuropathol","Acta Neuropathologica"
"Acta Neuropsychiatr","Acta Neuropsychiatrica"
"Acta Numer","Acta Numerica"
"Acta Oceanogr Taiwan","Acta Oceanographica Taiwanica"
"Acta Oceanol Sin","Acta Oceanologica Sinica"
"Acta Oceanolog Sin","Acta Oceanologica Sinica"
"Acta Odontol Scand","Acta Odontologica Scandinavica"
"Acta Oecol Int J Ecol","Acta Oecologica International Journal of Ecology"
"Acta Palaeobot","Acta Palaeobotanica"
"Acta Palaeontol Pol","Acta Palaeontologica Polonica"
"Acta Palaeontol Polonica","Acta Palaeontologica Polonica"
"Acta Pharmacol Sin","Acta Pharmacologica Sinica"
"Acta Phys Chim Debrecina","Acta Physica et Chimica Debrecina"
"Acta Phys Chim Sin","Acta PhysicoChimica Sinica"
"Acta Phys Debrecina","Acta Physica Debrecina"
"Acta Phys Pol A","Acta Physica Polonica A"
"Acta Phys Pol B","Acta Physica Polonica B"
"Acta Phys Pol B Proc Suppl","Acta Physica Polonica Proceedings Supplement"
"Acta Physiol Scand","Acta Physiologica Scandinavica"
"Acta Phytogeogr Suec","Acta Phytogeographica Suecica"
"Acta Phytopathol Acad Sci Hung","Acta Phytopathologica Academiae Scientiarum Hungaricae"
"Acta Polym","Acta Polymerica"
"Acta Polytech Scand Chem Technol Ser","Acta Polytechnica Scandinavica Chemical Technology Series"
"Acta Protozool","Acta Protozoologica"
"Acta r Soc Sci Litt Gothobg Zool","Acta Regiae Societatis Scientiarum et Litterarum Gothoburgensis Zoologica"
"Acta Sci Circumst","Acta Scientiae Circumstantiae"
"Acta Sci Nat Univ Sunyatseni","Acta Scientiarum Naturalium Universitatis Sunyatseni"
"Acta Sedimentol Sin","Acta Sedimentologica Sinica"
"Acta Seismol Sin","Acta Seismologica Sinica"
"Acta Soc Zool Bohemoslov","Acta Societatis Zoologicae Bohemoslovacae"
"Acta Tech","Acta Technica"
"Acta Trop","Acta Tropica"
"Acta Vet Scand","Acta Veterinaria Scandinavica"
"Acta Zool","Acta Zoologica"
"Acta Zool Cracov","Acta Zoologica Cracoviensia"
"Acta Zool Fenn","Acta Zoologica Fennica"
"Acta Zool Hung","Acta Zoologica Hungarica"
"Acta Zool Lillo","Acta Zoologica Lilloana"
"Acta Zool Pathol Antverpiensia","Acta Zoologica et Pathologica Antverpiensia"
"Acta Zool Sin","Acta Zoologica Sinica"
"Actes Dir Rech Sci Tech Que Prov","Actes Direction de la Recherche Scientifique et Technique Quebec Prov"
"Actes Soc Helv Sci Nat","Actes de la Societe Helvetique des Sciences Naturelles"
"Actual Biol","Actualidades Biologicas"
"Actual Chim","Actualite Chimique"
"Ad Hoc Networks","Ad Hoc Networks"
"Addict Behav","Addictive Behaviors"
"Addict Behav Rep","Addictive Behaviors Reports"
"Addict Biol","Addiction Biology"
"Addit Manuf","Additive Manufacturing"
"Addit Polym","Additives for Polymers"
"Adhes Age","Adhesives Age"
"Adm Law Rev","Administrative Law Reviews"
"Adm Rep","Administrative Report"
"Adour Garonne","Adour Garonne"
"Adsorpt Sci Technol","Adsorption Science and Technology"
"Adv Acoust Vibr","Advances in Acoustics and Vibrations"
"Adv Aerodyn","Advances in Aerodynamics"
"Adv Agric","Advances in Agriculture"
"Adv Anim Biosci","Advances in Animal Biosciences"
"Adv Appl Ceram","Advances in Applied Ceramics"
"Adv Appl Math","Advances in Applied Mathematics"
"Adv Appl Math Mech","Advances in Applied Mathematics and Mechanics"
"Adv Appl Microbiol","Advances in Applied Microbiology"
"Adv Appl Probab","Advances in Applied Probability"
"Adv Archaeol Pract","Advances in Archaeological Practice"
"Adv Astron","Advances in Astronomy"
"Adv At Mol Opt Phys","Advances in Atomic Molecular and Optical Physics"
"Adv Atmos Sci","Advances in Atmospheric Sciences"
"Adv Bio Regul","Advances in Biological Regulation"
"Adv Biochem EngBiotechnol","Advances in Biochemical Engineering Biotechnology"
"Adv Bioinf","Advances in Bioinformatics"
"Adv Biomarker Sci Technol","Advances in Biomarker Sciences and Technology"
"Adv Bionics Biokinet Biocybern","Advanced Bionics Biokinetics and Biocybernetics"
"Adv Biophys","Advances in Biophysics"
"Adv Biosyst","Advanced Biosystems"
"Adv Bot Res","Advances in Botanical Research"
"Adv Bridge Eng","Advances in Bridge Engineering"
"Adv Build Energy Res","Advances in Building Energy Research"
"Adv Carbohydr Chem Biochem","Advances in Carbohydrate Chemistry and Biochemistry"
"Adv Cem Based Mater","Advanced Cement Based Materials"
"Adv Cem Res","Advances in Cement Research"
"Adv Chem Phys","Advances in Chemical Physics"
"Adv Chem Ser","Advances in Chemistry Series"
"Adv Chromatogr","Advances in Chromatography"
"Adv Civ Eng","Advances in Civil Engineering"
"Adv Clim Change Res","Advances in Climate Change Research"
"Adv Colloid Interface Sci","Advances in Colloid and Interface Science"
"Adv Complex Syst","Advances in Complex Systems"
"Adv Compos Hybrid Mater","Advanced Composites and Hybrid Materials"
"Adv Compos Mater","Advanced Composite Materials"
"Adv Comput Math","Advances in Computational Mathematics"
"Adv Condens Matter Phys","Advances in Condensed Matter Physics"
"Adv Control Appl","Advanced Control for Applications"
"Adv Cryog Eng","Advances in Cryogenic Engineering"
"Adv Damage Mech","Advances in Damage Mechanics"
"Adv Dev Biol","Advances in Developmental Biology"
"Adv Device Mater","Advanced Device Materials"
"Adv Drug Delivery Rev","Advanced Drug Delivery Reviews"
"Adv Ecol Res","Advances in Ecological Research"
"Adv Electron Mater","Advanced Electronic Materials"
"Adv Energy Mater","Advanced Energy Materials"
"Adv Eng Educ","Advances in Engineering Education"
"Adv Eng Inf","Advanced Engineering Informatics"
"Adv Eng Mater","Advanced Engineering Materials"
"Adv Eng Software","Advances in Engineering Software"
"Adv Environ Res","Advances in Environmental Research"
"Adv Environ Sci Technol","Advances in Environmental Science and Technology"
"Adv Enzyme Regul","Advances in Enzyme Regulation"
"Adv Enzymol Relat Areas Mol Biol","Advances in Enzymology and Related Areas of Molecular Biology"
"Adv Enzymol Relat Subj","Advances in Enzymology and Related Subjects"
"Adv Enzymol Relat Subj Biochem","Advances in Ezymology and Related Subjects of Biochemistry"
"Adv Filtr Sep Technol","Advances in Filtration and Separation Technology"
"Adv Food Nutr Res","Advances in Food and Nutrition Research"
"Adv Forensic Haemogenet","Advances in Forensic Haemogenetics"
"Adv Free Radical Biol Med","Advances in Free Radical Biology and Medicine"
"Adv Funct Mater","Advanced Functional Materials"
"Adv Fuzzy Syst","Advances in Fuzzy Systems"
"Adv Genet","Advances in Genetics"
"Adv Geophys","Advances in Geophysics"
"Adv Geosci","Advances in Geosciences"
"Adv Healthcare Mater","Advanced Healthcare Materials"
"Adv Heterocycl Chem","Advances in Heterocyclic Chemistry"
"Adv High Energy Phys","Advances in High Energy Physics"
"Adv Hum Comput Interact","Advances in HumanComputer Interaction"
"Adv Ind Eng Polym Res","Advanced Industrial and Engineering Polymer Research"
"Adv Inorg Chem","Advances in Inorganic Chemistry"
"Adv Limnol","Advances in Limnology"
"Adv Lipid Res","Advances in Lipid Research"
"Adv Magn Opt Reson","Advances in Magnetic and Optical Resonance"
"Adv Manuf Polym Compos Sci","Advanced Manufacturing Polymer and Composites Science"
"Adv Mar Biol","Advances in Marine Biology"
"Adv Mass Spectrom","Advances in Mass Spectrometry"
"Adv Mater","Advanced Materials"
"Adv Mater Forum","Advanced Materials Forum"
"Adv Mater Interfaces","Advanced Materials Interfaces"
"Adv Mater Opt Electron","Advanced Materials for Optics and Electronics"
"Adv Mater Processes","Advanced Materials and Processes"
"Adv Mater Res","Advances in Materials Research"
"Adv Mater Sci Eng","Advances in Materials Science and Engineering"
"Adv Math","Advances in Mathematics"
"Adv Math Phys","Advances in Mathematical Physics"
"Adv Mech","Advances in Mechanics"
"Adv Mech Eng","Advances in Mechanical Engineering"
"Adv Med Dent Sci","Advances in Medical and Dental Sciences"
"Adv Med Sci","Advances in Medical Science"
"Adv Meteorol","Advances in Meteorology"
"Adv Modell Anal A","Advances in Modelling and Analysis A"
"Adv Modell Anal B","Advances in Modelling and Analysis B"
"Adv Mol Pathol","Advances in Molecular Pathology"
"Adv Mol Relax Interact Processes","Advances in Molecular Relaxation and Interaction Processes"
"Adv Multimedia","Advances in Multimedia"
"Adv Nat Appl Sci","Advances in Natural and Applied Science"
"Adv Nat Sci Nanosci Nanotechnol","Advances in Natural Sciences Nanoscience and Nanotechnology"
"Adv Neuroimmune Biol","Advances in Neuroimmune Biology"
"Adv Nonlinear Anal","Advances in Nonlinear Analysis"
"Adv Nonlinear Stud","Advanced Nonlinear Studies"
"Adv Numer Anal","Advances in Numerical Analysis"
"Adv Nutr","Advances in Nutrition"
"Adv Oceanogr Limnol","Advances in Oceanography and Limnology"
"Adv Oper Res","Advances in Operations Research"
"Adv Opt Mater","Advanced Optical Materials"
"Adv Opt Photonics","Advances in Optics and Photonics"
"Adv Opt Technol","Advances in Optical Technologies"
"Adv OptoElectron","Advances in OptoElectronics"
"Adv Org Geochem","Advances in Organic Geochemistry"
"Adv Org Synth","Advances in Organic Synthesis"
"Adv Organomet Chem","Advances in Organometallic Chemistry"
"Adv Photonics","Advanced Photonics"
"Adv Phys","Advances in Physics"
"Adv Phys Org Chem","Advances in Physical Organic Chemistry"
"Adv Polym Sci","Advances in Polymer Science"
"Adv Polym Tech","Advances in Polymer Technology"
"Adv Powder Metall Part Mater","Advances in Powder Metallurgy and Particulate Materials"
"Adv Powder Technol","Advanced Powder Technology"
"Adv Power Electron","Advances in Power Electronics"
"Adv Prod Eng Manage","Advances in Production Engineering and Management"
"Adv Protein Chem","Advances in Protein Chemistry"
"Adv Quantum Chem","Advances in Quantum Chemistry"
"Adv Quantum Technol","Advanced Quantum Technologies"
"Adv Radiat Oncol","Advances in Radiation Oncology"
"Adv Radio Sci","Advances in Radio Science"
"Adv Rob","Advanced Robotics"
"Adv Sci","Advanced Science"
"Adv Sci Lett","Advanced Science Letters"
"Adv Sci Res","Advances in Science and Research"
"Adv Second Messenger Phosphoprotein Res","Advances in Second Messenger and Phosphoprotein Research"
"Adv Space Res","Advances in Space Research"
"Adv Spectrosc","Advances in Spectroscopy"
"Adv Stat Climatol Meteorol Oceanogr","Advances in Statistical Climatology Meteorology and Oceanography"
"Adv Struct Eng","Advances in Structural Engineering"
"Adv Stud Theor Phys","Advanced Studies in Theoretical Physics"
"Adv Synchrotron Radiat","Advances in Synchrotron Radiation"
"Adv Synth Catal","Advanced Synthesis and Catalysis"
"Adv Theor Math Phys","Advances in Theoretical and Mathematical Physics"
"Adv Theor Simul","Advanced Theory and Simulations"
"Adv Transp Stud","Advances in Transportation Studies"
"Adv Tribol","Advances in Tribology"
"Adv Virol","Advances in Virology"
"Adv Water Res","Advances in Water Research"
"Adv Water Resour","Advances in Water Resources"
"Adv XRay Anal","Advances in XRay Analysis"
"Adverse Drug React Toxicol Rev","Adverse Drug Reactions and Toxicological Reviews"
"Advis Serv Sea Grant Program South Calif Univ","Advisory Services Sea Grant Program Southern California University"
"AegirSea","AegirSea"
"Aeolian Res","Aeolian Research"
"Aeronaut J","Aeronautical Journal"
"Aerosol Air Qual Res","Aerosol and Air Quality Research"
"Aerosol Sci Eng","Aerosol Science and Engineering"
"Aerosol Sci Technol","Aerosol Science and Technology"
"Aerosp Med Hum Perform","Aerospace Medicine and Human Performance"
"Aerosp Sci Technol","Aerospace Science and Technology"
"Aerosp Syst","Aerospace Systems"
"AEU Int J Electron Commun","AEU International Journal of Electronics and Communications"
"Afr Entomol","African Entomology"
"Afr J Aquat Sci","African Journal of Aquatic Science"
"Afr J Biochem Res","African Journal of Biochemistry Research"
"Afr J Ecol","African Journal of Ecology"
"Afr J Environ Sci Technol","African Journal of Environmental Science and Technology"
"Afr J Food Agric Nutr Dev","African Journal of Food Agriculture Nutrition and Development"
"Afr J Food Sci","African Journal of Food Science"
"Afr J Lab Med","African Journal of Laboratory Medicine"
"Afr J Mar Sci","African Journal of Marine Science"
"Afr J Plant Sci","African Journal of Plant Science"
"Afr J Range Forage Sci","African Journal of Range and Forage Science"
"Agal Res","Agal Research"
"Agra Univ J Res Sci","Agra University Journal of Research Science"
"AGREP","Permanent inventory of Agricultural Research Projects in the Commission of European Communities"
"Agric Agric Sci Procedia","Agriculture and Agricultural Science Procedia"
"Agric Ecosyst Environ","Agriculture Ecosystems and Environment"
"Agric Environ","Agriculture and Environment"
"Agric Environ Lett","Agricultural and Environmental Letters"
"Agric Food Sci","Agricultural and Food Science"
"Agric Food Secur","Agriculture and Food Security"
"Agric For Bull","Agriculture and Forestry Bulletin"
"Agric For Entomol","Agricultural and Forest Entomology"
"Agric For Meteorol","Agricultural and Forest Meteorology"
"Agric Pesca Aliment Esp","Agricultura la Pesca y la Alimentacion Espanolas"
"Agric Res","Agricultural Research"
"Agric Resour Econ Rev","Agricultural and Resource Economics Review"
"Agric Syst","Agricultural Systems"
"Agric Wastes","Agricultural Wastes"
"Agric Water Manage","Agricultural Water Management"
"Agrofor Syst","Agroforestry Systems"
"Agron J","Agronomy Journal"
"Agron Lusit","Agronomia Lusitana"
"Agron Sustainable Dev","Agronomy for Sustainable Development"
"AGSO J Aust Geol Geophys","AGSO Journal of Australian Geology and Geophysics"
"AGU Adv","AGU Advances"
"AI Commun","AI Communications"
"AIAA J Air Transp","AIAA Journal of Air Transportation"
"Ain Shams Eng J","Ain Shams Engineering Journal"
"AIP Adv","AIP Advances"
"Air Qual Atmos Health","Air Quality Atmosphere and Health"
"Air Soil Water Res","Air Soil and Water Research"
"Air Water Pollut","Air and Water Pollution"
"Aircr Des","Aircraft Design"
"Aircr Eng","Aircraft Engineering"
"AlChE J","AIChE Journal"
"AlChE Symp Ser","AIChE Symposium Series"
"Alcohol Alcohol","Alcohol and Alcoholism"
"Alcohol Drug Addict","Alcoholism and Drug Addiction"
"Alcohol Clin Exp Res","Alcoholism Clinical and Experimental Research"
"ALCOM News","ALCOM News"
"ALCOM Rep","ALCOM Report"
"Aldrichimica Acta","Aldrichimica Acta"
"Algologiya","Algologiya"
"Algorithmic Finance","Algorithmic Finance"
"Algorithms Mol Biol","Algorithms for Molecular Biology"
"Aliment Pharmacol Ther","Alimentary Pharmacology and Therapeutics"
"Allan Hancock Atl Exped Rep","Allan Hancock Atlantic Expedition Report"
"Allan Hancock Found Tech Rep","Allan Hancock Foundation Technical Report"
"Allan Hancock Monogr Mar Biol","Allan Hancock Monographs in Marine Biology"
"Allan Hancock Occas Pap","Allan Hancock Occasional Papers"
"Allan Hancock Occas Pap New Ser","Allan Hancock Occasional Papers New Series"
"Allan Hancock Pac Exped","Allan Hancock Pacific Expeditions"
"Allg FischZtg","Allgemeine FischereiZeitung"
"Alp Bot","Alpine Botany"
"Alp Entomol","Alpine Entomology"
"Alsk Fish Res Bull","Alaska Fishery Research Bulletin"
"Alsk Sea Grant Rep Alsk Sea Grant Program Univ Alsk","Alaska Sea Grant Report Alaska Sea Grant Program University of Alaska"
"Am Assoc Pet Geol Bull","American Association of Petroleum Geologists Bulletin"
"Am Bee J","American Bee Journal"
"Am Biol Teach","American Biology Teacher"
"Am Ceram Soc Bull","American Ceramic Society Bulletin"
"Am Chem J","American Chemical Journal"
"Am Christmas Tree J","American Christmas Tree Journal"
"Am Econ Rev","American Economic Review"
"Am Fish Soc Symp","American Fisheries Society Symposium"
"Am Ind Hyg Assoc J","American Industrial Hygiene Association Journal"
"Am J Addict","American Journal on Addictions"
"Am J Agric Econ","American Journal of Agricultural Economics"
"Am J Altern Agric","American Journal of Alternative Agriculture"
"Am J Biochem Biotechnol","American Journal of Biochemistry and Biotechnology"
"Am J Bioethics","American Journal of Bioethics"
"Am J Bot","American Journal of Botany"
"Am J Clin Nutr","American Journal of Clinical Nutrition"
"Am J Clin Pathol","American Journal of Clinical Pathology"
"Am J Drug Alcohol Abuse","American Journal of Drug and Alcohol Abuse"
"Am J Econ Sociol","American Journal of Economics and Sociology"
"Am J Food Technol","American Journal of Food Technology"
"Am J Forensic Med Pathol","American Journal of Forensic Medicine and Pathology"
"Am J Health Syst Pharm","American Journal of Health System Pharmacy"
"Am J HealthSyst Pharm","American Journal of Health System Pharmacy"
