"author","year","title","container","publisher","doi","url","File","ID","journal_disam","container_match_journal","pub_match_journal","container_match_agency","author_match_agency","pub_match_agency","container_match_conf","pub_match_conf","container_match_agency_p","author_match_agency_p","pub_match_agency_p","training_input","class","classification"
NA,NA,"A Summary Report","US Geological Survey Professional Paper 1401a",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","36","US Geological Survey Professional Paper 1401a",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,"US Geological Survey Professional Paper 1401a","agency","regex"
"California Department of Water Resources","2006","San Joaquin Valley Groundwater Basin DeltaMendota Subbasin","DWR Bulletin",NA,NA,"http://www.water.ca.gov/pubs/groundwater/bulletin_118/basindescriptions/5-22.07.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","48","DWR Bulletin",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,"California Department of Water Resources","agency","regex"
"California Department of Water Resources","2010","Lines of Equal Elevation of Water in Wells Unconfined Aquifer",NA,NA,NA,"https://water.ca.gov/LegacyFiles/pubs/groundwater/lines_of_equal_elevation_of_water_in_wells_unconfi","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","49",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,"California Department of Water Resources","agency","regex"
"California Department of Water Resources","2016","Best Management Practices for the Sustainable Management of Groundwater Monitoring Networks and Identification of Data Gaps",NA,NA,NA,"https://water.ca.gov/-/media/DWR-Website/Web-Pages/Programs/GroundwaterManagement/Sustainable-Groundwater-Management/Best-Management-Practices-and-GuidanceDocuments/Files/BMP-2-Monitoring-Networks-and-Identification-of-Data-Gaps.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","51",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,"California Department of Water Resources","agency","regex"
"California Department of Water Resources","2016","Best Management Practices for the Sustainable Management of Groundwater Water Budget BMP",NA,NA,NA,"https://water.ca.gov/-/media/DWRWebsite/Web-Pages/Programs/Groundwater-Management/Sustainable-Groundwater-Management/BestManagement-Practices-and-Guidance-Documents/Files/BMP-4-Water-Budget.pdf.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","54",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,"California Department of Water Resources","agency","regex"
"California State Water Resources Control Board","2011","CVSALTS Lower San Joaquin River Committee 28 2011 Meeting Materials Agenda Item 4 Problem Statement",NA,NA,NA,"https://www.waterboards.ca.gov/centralvalley/water_issues/salinity/lower_sanjoaquin_river_committee/a","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","68",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,"California State Water Resources Control Board","agency","regex"
"Davis, GH; Poland, JF","1957","Groundwater Conditions in the Mendota Huron Area Fresno and Kings Counties California","US Geological Survey Water Supply Paper",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","77","US Geological Survey Water Supply Paper",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey Water Supply Paper","agency","regex"
"Davis, GH; Green, JH; Olmstead, SH; Brown, DW","1959","Ground Water Conditions and Storage Capacity in the San Joaquin Valley California","US Geological Survey Water Supply Paper",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","78","US Geological Survey Water Supply Paper",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey Water Supply Paper","agency","regex"
"Davis, GH; Lofgren, BE; Mack, S","1964","Use of Groundwater Reservoirs for Storage of Surface Water in the San Joaquin Valley California","US Geological Survey WaterSupply Paper 1618",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","79","US Geological Survey WaterSupply Paper 1618",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey WaterSupply Paper 1618","agency","regex"
"Faunt, C; Hanson, RT; Belitz, K; Schmid, W; Predmore, S; Rewis, DL; McPherson, K","2009","Groundwater Availability of the Central Valley Aquifer California","US Geological Survey Professional Paper 1766",NA,NA,"http://pubs.usgs.gov/pp/1766/.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","85","US Geological Survey Professional Paper 1766",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey Professional Paper 1766","agency","regex"
"Faunt, CC; Belitz, K; Hanson, RT; Survey, Geological","2010","Development of a Threedimensional Model of Sedimentary Texture in Valleyfill Deposits of Central Valley","Hydrogeology Journal",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","86","Hydrogeology Journal",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Hydrogeology Journal","journal","regex"
"Galloway, DL; Riley, FS","1999","San Joaquin Valley CaliforniaLargest Human Alteration of the Earths Surface","Land Subsidence in the United States US Geological Survey Circular 1182",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","90","Land Subsidence in the United States US Geological Survey Circular 1182",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Land Subsidence in the United States US Geological Survey Circular 1182","agency","regex"
"Galloway, DL; Jones, DR; Ingebritsen, SE","1999","Land Subsidence in the United States","US Geological Survey Circular",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","91","US Geological Survey Circular",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey Circular","journal","regex"
"Ireland, RL","1986","Land Subsidence in the San Joaquin Valley California as of 1983","US Geological Survey Water Resources Investigations Report",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","94","US Geological Survey Water Resources Investigations Report",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey Water Resources Investigations Report","agency","regex"
"RL, Ireland; Poland, JF; Riley, FS","1984","Land Subsidence in the San Joaquin Valley California as of 1980","US Geological Survey Professional Paper",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","95","US Geological Survey Professional Paper",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey Professional Paper","agency","regex"
"Mendenhall, WC; Dole, RB; Stabler, H","1916","Ground Water in the San Joaquin Valley California","US Geological Survey WaterSupply Paper",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","98","US Geological Survey WaterSupply Paper",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey WaterSupply Paper","agency","regex"
"Poland, JF; Lofgren, BE; Ireland, RL; Pugh, AG","1975","Land Subsidence in the San Joaquin Valley California as of 1972 US","Geological Survey Professional Paper",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","110","Geological Survey Professional Paper",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Geological Survey Professional Paper","agency","regex"
"Sneed, M; Brandt, J; Solt, M","2013","Land Subsidence along the DeltaMendota Canal in the Northern Part of the San Joaquin Valley","Geological Survey Scientific Investigations Report",NA,"10.3133/sir20135142.",NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","118","Geological Survey Scientific Investigations Report",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Geological Survey Scientific Investigations Report","agency","regex"
"Strathouse, SM; Sposito, G","1980","Geologic Nitrogen Pose Hazard Draft DeltaMendota Subbasin","California Agriculture",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","121","California Agriculture",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"California Agriculture","journal","regex"
"United State Bureau of Reclamation","2002",NA,NA,NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","130",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,NA,"United State Bureau of Reclamation","agency","regex"
"United States Bureau of Reclamation","2018","DeltaMendota Canal NonProject Water Pumpin Program Monitoring Plan",NA,NA,NA,"https://www.usbr.gov/mp/nepa/includes/documentShow.php?Doc_ID=32784.","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","131",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,NA,"United States Bureau of Reclamation","agency","regex"
"Tonkin, M; Larson, S","2002","Kriging Water Levels with a RegionalLinear and PointLogarithmic Drift","Ground Water",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","143","Ground Water",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Ground Water","journal","regex"
NA,NA,"169470901861 Web Soil Survey","Journal of Hydrology",NA,"10.1016/0022-",NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","145","Journal of Hydrology",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,"Journal of Hydrology","journal","regex"
"Barlow, PM; Leake, SA","2012","Streamflow Depletion by Wells Understanding and Managing the Effects of Groundwater Pumping on Streamflow US","Geological Survey",NA,NA,"http://pubs.usgs.gov/circ/1376/","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","147","Geological Survey",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Geological Survey","agency","regex"
"Chang, SW; Clement, TP; Simpson, MJ; Lee, KK; Healy, RW; Winter, TC; LaBough, JW; Franke, LO","2011","Does Sealevel Rise Have an Impact on Saltwater Intrusion","Advances in Water Resources",NA,NA,"http://www.mjsimpson.com/pdf/ADWR_2011.pdf, http://pubs.usgs.gov/circ/2007/1308/","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","148","Advances in Water Resources",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Advances in Water Resources","journal","regex"
"Poland, JF; Lofgren, BE; Ireland, RL; Pugh, RG","1975","Land Subsidence in the San Joaquin Valley","California as of 1972 US Geological Survey Professional Paper 437h Prepared in Cooperation with the California Department of Water Resources",NA,NA,"http://pubs.usgs.gov/pp/0437h/report.pdf","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","162","California as of 1972 US Geological Survey Professional Paper 437h Prepared in Cooperation with the California Department of Water Resources",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"California as of 1972 US Geological Survey Professional Paper 437h Prepared in Cooperation with the California Department of Water Resources","agency","regex"
"Wilde, FD","2005","Preparations for Water Sampling","A1",NA,NA,"http://water.usgs.gov/owq/FieldManual/compiled/NFM_complete.pdf, http://water.usgs.gov/osw/gps/","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","166","A1",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"A1","remove_row","regex"
"Heath, RC","1976","Design of Groundwater Level Observationwell Programs","Ground Water",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","168","Ground Water",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Ground Water","journal","regex"
"Bartow, JA; Pittman, GM","1983","The Kern River Formation Southeastern San Joaquin Valley California Contributions to Stratigraphy","Geological Survey Bulletin",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/kern_gsp.json","181","Geological Survey Bulletin",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Geological Survey Bulletin","agency","regex"
"Berkstresser, CF","1973","Base of Fresh Ground Water Approximately 3000 Micromhosin the Sacramento Valley and SacramentoSan Joaquin Delta California","United States Geological Survey Open File Report WRI",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/kern_gsp.json","182","United States Geological Survey Open File Report WRI",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"United States Geological Survey Open File Report WRI","agency","regex"
NA,"1998","Division of Oil Gas and Geothermal Resources DOGGR","California Department of Conservation California Oil and Gas Fields",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/kern_gsp.json","203","California Department of Conservation California Oil and Gas Fields",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,NA,"California Department of Conservation California Oil and Gas Fields","agency","regex"
"Galloway, D; Jones, DR; Ingebritsen, SE","1999","Land Subsidence in the United States US","Geological Survey Circular",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/kern_gsp.json","206","Geological Survey Circular",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Geological Survey Circular","agency","regex"
"Gillespie, J; Kong, D; Anderson, SD","2017",NA,"AAPG Bulletin",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/kern_gsp.json","207","AAPG Bulletin",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"AAPG Bulletin","journal","regex"
"Heath, Ralph C","1984","Basic GroundWater Hydrology","US Geological Survey USGS Water Supply Paper 2220 Third Printing USGS in Cooperation with the North Carolina Department of Natural Resources and Community Development",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/kern_gsp.json","209","US Geological Survey USGS Water Supply Paper 2220 Third Printing USGS in Cooperation with the North Carolina Department of Natural Resources and Community Development",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey USGS Water Supply Paper 2220 Third Printing USGS in Cooperation with the North Carolina Department of Natural Resources and Community Development","agency","regex"
"OBryan, PL","1992",NA,"Inc Copyright 1992 Office of Environmental Health Hazard Assessment OEHHA California Environmental Protection Agency 2009 Final Public Health Goal for 123trichloropropane in Drinking Water",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/kern_gsp.json","221","Inc Copyright 1992 Office of Environmental Health Hazard Assessment OEHHA California Environmental Protection Agency 2009 Final Public Health Goal for 123trichloropropane in Drinking Water",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Inc Copyright 1992 Office of Environmental Health Hazard Assessment OEHHA California Environmental Protection Agency 2009 Final Public Health Goal for 123trichloropropane in Drinking Water","agency","regex"
"Swartz, RJ; Thyne, GD; Gillespie, JM","1996","Dissolved Arsenic in the Kern Fan","Environmental Geosciences",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/kern_gsp.json","231","Environmental Geosciences",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Environmental Geosciences","journal","regex"
NA,"1982","Lake Evaporation Factor for CIMIS",NA,"University of California US Army Corps of Engineers",NA,"https://cimis.water.ca.gov/","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/kern_gsp.json","236",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,"University of California US Army Corps of Engineers","agency","regex"
"Allen, RG; Pereira, LS; Howell, TA; Jensen, ME; Allen, RG; Tasumi, M; Morse, A; Trezza, R; Wright, JL; Bastiaanssen, W; Kramber, W; Lorite, I; W, C","2011","Evapotranspiration Information Reporting I Factors Governing Measurement Accuracy","Agricultural Water Management",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/madera_gsp.json","244","Agricultural Water Management",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Agricultural Water Management","journal","regex"
"Allen, R; Irmak, A; Trezza, R; Hendrickx, JM; Bastiaanssen, W; Kjaersgaard, J","2011","Satellitebased ET Estimation in Agriculture using SEBAL and METRIC","Hydrological Processes",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/madera_gsp.json","246","Hydrological Processes",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Hydrological Processes","journal","regex"
"Englehardt, JD; Wu, T; Bloetscher, F; Deng, Y; Pisani, PDu; Eilert, S; Elmir, S; Guo, T; Jacangelo, J; LeChevallier, M; Leverenz, H","2016","Netzero Water Management Achieving EnergyPositive Municipal Water Supply","Environmental Science Water Research and Technology",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/madera_gsp.json","277","Environmental Science Water Research and Technology",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Environmental Science Water Research and Technology","journal","regex"
"National Marine Fisheries Service","2016",NA,NA,NA,NA,"https://www.westcoast.fisheries.noaa.gov/maps_data/california_species_list_tools.html","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/madera_gsp.json","289",NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,NA,"National Marine Fisheries Service","agency","regex"
"State Water Resources Control Board","1995","Water Quality Control Plan for the San Francisco Bay SacramentoSan Joaquin Delta Estuary","California Environmental Protection Agency SWRCB",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/madera_gsp.json","300","California Environmental Protection Agency SWRCB",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"California Environmental Protection Agency SWRCB","agency","regex"
"University of California Cooperative Extension","1987","Leaflet 21427 Using Reference Evapotranspiration ETo and Crop Coefficients to Estimate Crop Evapotranspiration ETc for Agronomic Crops Grasses and Vegetables Crops","University of California United States Department of Agriculture USDA Natural Resources Conservation Service NRCS",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/madera_gsp.json","309","University of California United States Department of Agriculture USDA Natural Resources Conservation Service NRCS",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,"University of California United States Department of Agriculture USDA Natural Resources Conservation Service NRCS","agency","regex"
NA,"2004","National Engineering Handbook Part 630 Hydrology Chapters 9 and 10",NA,"USDANRCS USDA Natural Resources Conservation Service",NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/madera_gsp.json","310",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,TRUE,"USDANRCS USDA Natural Resources Conservation Service","agency","regex"
"Elliott, AL","1984",NA,"US",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/merced_gsp.json","349","US",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"US","remove_row","regex"
"Merced County Department of Agriculture","2017","Report on Agriculture",NA,NA,NA,"https://www.co.merced.ca.us/ArchiveCenter/ViewFile/Item/785","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/merced_gsp.json","359",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,NA,"Merced County Department of Agriculture","agency","regex"
"Valentine, DW; Densmore, JN; Galloway, DL; Amelung, F","2001",NA,"Geological Survey Open File Report 00447 Paso Robles Subbasin GSP 13",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/paso_gsp.json","406","Geological Survey Open File Report 00447 Paso Robles Subbasin GSP November 13",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"Geological Survey Open File Report 00447 Paso Robles Subbasin GSP 13","agency","regex"
"Gus Yates; City of El Paso de Robles","2010","Peer Review of Paso Robles Groundwater Basin Studies Executive Summary","US Department of Agriculture USDA NRCS Natural Resources Conservation Service",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/paso_gsp.json","407","US Department of Agriculture USDA NRCS Natural Resources Conservation Service",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Department of Agriculture USDA NRCS Natural Resources Conservation Service","agency","regex"
"Abell, R; Allan, JD; Lehner, B","2007","Unlocking the Potential of Protected Areas for Freshwaters","Biological Conservation",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/paso_gsp.json","414","Biological Conservation",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Biological Conservation","journal","regex"
"Margules, CR; Pressey, RL","2000","Systematic Conservation Planning","Nature",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/paso_gsp.json","415","Nature",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Nature","journal","regex"
"Darwall, WRT; Holland, RA; Smith, KG; Allen, D; Brooks, EGE; Katarya, V","2011","Implications of Bias in Conservation Research and Investment for Freshwater Species","Conservation Letters",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/paso_gsp.json","416","Conservation Letters",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Conservation Letters","journal","regex"
"Moyle, PB; Katz, JVE; Quiones, RM","2011","Rapid Decline of Californias Native Inland Fishes a Status Assessment","Biological Conservation",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/paso_gsp.json","417","Biological Conservation",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"Biological Conservation","journal","regex"
"USArmy Corps of Engineers","2014","National Wetland Plant List Version 32",NA,NA,NA,"http://wetland","/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/paso_gsp.json","424",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,TRUE,NA,"USArmy Corps of Engineers","agency","regex"
